OxySoft export of:	C:\Users\NIRS\Desktop\HPL Practice Test\Example_On_Off_Kinetics
Export date:	2024/07/19 10:58:09
Start of measurement:	2021-07-14 14:08:11.999

Datafile sample rate:	10.00	Hz
Datafile duration:	960.600	s
Datafile total number of samples:	9606

Description:	

Optode-template:	PortaMon TSI Fit Factor
Optode distance (mm):	 35.00
Optode gradients (mm):	 5.00
DPF:	4.00

Device id:	1329
# Receivers:	1
# Light sources:	6
# ADC:	0

Light source wavelengths:
device	index	wavelength
1	1	759	nm
1	2	854	nm
1	3	759	nm
1	4	854	nm
1	5	761	nm
1	6	856	nm

Export sample rate:	10.00	Hz
Selected time span:	0	960.600
Selected time span (sample numbers):	0	9606


Legend:
Column	Trace (Measurement)
1	(Sample number)
2	Rx1-Tx1 O2Hb (LaLonde_Test_FP_7_14_21)
3	Rx1-Tx1 HHb (LaLonde_Test_FP_7_14_21)
4	Rx1-Tx2 O2Hb (LaLonde_Test_FP_7_14_21)
5	Rx1-Tx2 HHb (LaLonde_Test_FP_7_14_21)
6	Rx1-Tx3 O2Hb (LaLonde_Test_FP_7_14_21)
7	Rx1-Tx3 HHb (LaLonde_Test_FP_7_14_21)
8	Rx1-Tx1,Tx2,Tx3 TSI% (LaLonde_Test_FP_7_14_21)
9	Rx1-Tx1,Tx2,Tx3 TSI Fit Factor (LaLonde_Test_FP_7_14_21)
10	(Event)


1	2	3	4	5	6	7	8	9	10
   167	 0.0190	-0.0812	-0.0528	-0.0341	 0.0880	-0.0138	61.0450	99.9923	
   168	-0.0042	-0.0729	-0.0646	-0.0618	 0.0615	-0.0133	61.0431	99.9916	
   169	-0.0398	-0.0725	-0.0845	-0.0546	 0.0423	-0.0438	61.1268	99.9925	
   170	-0.0536	-0.1047	-0.1174	-0.0959	-0.0092	-0.0060	60.9129	99.9910	
   171	-0.0768	-0.0964	-0.1256	-0.0611	 0.0680	-0.0626	61.2197	99.9921	
   172	 0.0532	-0.1058	 0.0058	-0.0764	 0.1329	-0.0023	61.0080	99.9915	
   173	 0.0779	-0.0899	 0.0469	-0.0699	 0.1578	-0.0396	61.1324	99.9926	
   174	 0.0655	-0.0979	 0.0152	-0.0904	 0.1055	-0.0202	61.0004	99.9917	
   175	 0.0190	-0.0812	-0.0247	-0.0761	 0.1038	-0.0571	61.1715	99.9922	
   176	 0.0300	-0.0975	-0.0552	-0.0758	 0.0615	-0.0133	60.9557	99.9913	
   177	-0.0056	-0.0971	-0.0458	-0.0897	 0.0763	-0.0751	61.1696	99.9924	
   178	-0.0180	-0.1051	-0.0975	-0.1031	 0.0074	-0.0309	60.9519	99.9911	
   179	-0.0303	-0.1131	-0.0658	-0.0826	 0.0854	-0.0691	61.1751	99.9924	
   180	 0.0997	-0.1225	 0.0644	-0.1187	 0.1578	-0.0396	61.0469	99.9916	
   181	 0.1121	-0.1146	 0.0656	-0.0979	 0.1652	-0.0704	61.1287	99.9925	
   182	 0.0997	-0.1225	 0.0140	-0.1112	 0.1303	-0.0575	61.0413	99.9913	
   183	 0.0765	-0.1142	 0.0245	-0.1044	 0.1295	-0.0759	61.1268	99.9923	
   184	 0.0765	-0.1142	-0.0060	-0.1040	 0.1038	-0.0571	61.0394	99.9916	
   185	 0.0532	-0.1058	-0.0259	-0.0969	 0.0937	-0.0815	61.1231	99.9921	
   186	 0.0518	-0.1301	-0.0576	-0.1174	 0.0589	-0.0686	60.9928	99.9912	
   187	 0.0751	-0.1385	 0.0233	-0.1252	 0.1635	-0.1073	61.2161	99.9921	
   188	 0.2065	-0.1237	 0.1360	-0.1125	 0.2110	-0.0405	61.0004	99.9917	
   189	 0.2298	-0.1320	 0.1266	-0.0985	 0.2258	-0.1022	61.1231	99.9928	
   190	 0.1833	-0.1153	 0.0539	-0.1255	 0.1561	-0.0764	61.0337	99.9908	
   191	 0.1586	-0.1312	 0.0632	-0.1395	 0.1535	-0.1317	61.1604	99.9922	
   192	 0.1695	-0.1476	 0.0620	-0.1603	 0.1029	-0.0755	60.9013	99.9912	
   193	 0.1463	-0.1392	 0.0526	-0.1463	 0.1269	-0.1312	61.1157	99.9923	
   194	 0.1572	-0.1555	 0.0022	-0.1388	 0.0754	-0.0935	60.8974	99.9914	
   195	 0.2051	-0.1479	 0.1137	-0.1469	 0.2075	-0.1141	61.1231	99.9918	
   196	 0.3598	-0.1415	 0.2263	-0.1343	 0.2890	-0.0786	60.9928	99.9914	
   197	 0.3503	-0.1009	 0.2381	-0.1066	 0.3230	-0.1099	61.2069	99.9923	
   198	 0.3735	-0.1092	 0.2170	-0.1203	 0.2633	-0.0598	60.9442	99.9911	
   199	 0.3503	-0.1009	 0.2275	-0.1134	 0.2707	-0.0906	61.0728	99.9922	
   200	 0.3721	-0.1335	 0.2064	-0.1271	 0.2450	-0.0718	60.8994	99.9914	
   201	 0.3024	-0.1085	 0.1665	-0.1128	 0.2516	-0.1210	61.1585	99.9921	
   202	 0.3119	-0.1491	 0.1348	-0.1333	 0.1992	-0.1017	60.9403	99.9915	
   203	 0.3831	-0.1498	 0.2768	-0.1417	 0.3662	-0.1353	61.2106	99.9923	
   204	 0.5268	-0.1270	 0.3988	-0.1430	 0.4220	-0.0809	61.0356	99.9916	
   205	 0.5159	-0.1107	 0.3789	-0.1359	 0.4028	-0.1113	61.1157	99.9920	
   206	 0.5145	-0.1350	 0.3272	-0.1492	 0.3597	-0.0860	60.9423	99.9908	
   207	 0.4913	-0.1267	 0.3390	-0.1216	 0.3588	-0.1044	61.0280	99.9925	
   208	 0.5145	-0.1350	 0.3179	-0.1352	 0.3422	-0.0795	60.8974	99.9912	
   209	 0.4680	-0.1183	 0.2885	-0.1141	 0.3313	-0.1224	61.0672	99.9924	
