OxySoft export of	C:\Artinis NIRS\NIRS Data\LIGHTSHIELD030_ONOFF_07_25_23_NEW								
Export date	7/25/2023 9:51								
Start of measurement	10:39.1								
									
Data file sample rate	10	Hz							
Data file duration	2056.6	s							
Data file total number of samples	20566								
									
Description									
Optode-template	PortaMon TSI Fit Factor								
Optode distance (mm)	35								
Optode gradients (mm)	5								
DPF	4								
									
Device id	1328								
# Receivers	1								
# Light sources	6								
# ADC	0								
									
Light source wavelengths									
Device	Tx	Wavelength							
145	0.09057	0.3229056	0.1394273	0.2873293	0.1929954	0.2542928	72.5290909	99.0128098	
146	0.0907622	0.3261404	0.1416303	0.2900854	0.1954693	0.2559083	72.5369949	99.0123901	
147	0.0933328	0.3293562	0.1432077	0.2937723	0.1973938	0.2583421	72.5369949	99.0121613	
148	0.0950785	0.3320389	0.1460363	0.2955976	0.1992477	0.2595533	72.5411301	99.0117874	
149	0.0959993	0.3341894	0.1469079	0.2988287	0.1999344	0.2611783	72.5411301	99.0110931	
150	0.0953665	0.3368912	0.1476976	0.3006712	0.1994518	0.2632173	72.5411301	99.0108566	
151	0.0947338	0.339593	0.1484872	0.3025137	0.1995205	0.264438	72.5452728	99.0104904	
152	0.0948301	0.3412104	0.1485692	0.3039003	0.1989692	0.2652543	72.5454636	99.0102158	
153	0.0925475	0.3428469	0.143324	0.307179	0.1972507	0.2664846	72.5454636	99.0104599	
154	0.0919147	0.3455487	0.1441136	0.3090215	0.1979374	0.2681096	72.549408	99.0103683	
155	0.0936604	0.3482313	0.1463166	0.3117777	0.19986	0.2705434	72.5492249	99.01017	
156	0.0946775	0.3519993	0.1485215	0.3145338	0.2017845	0.2729772	72.5531693	99.0100708	
157	0.0972481	0.3552151	0.1514321	0.3177477	0.204327	0.2758134	72.5529861	99.0098801	
158	0.1006437	0.358963	0.1550485	0.3214155	0.2086567	0.278642	72.5567474	99.0098267	
159	0.1040388	0.3627119	0.159998	0.3246122	0.2124351	0.282285	72.5563736	99.0096664	
160	0.1067057	0.3675452	0.16424	0.3273531	0.2149776	0.2851232	72.5605087	99.0095291	
161	0.1077228	0.3713122	0.1651116	0.3305822	0.2151817	0.2887853	72.5563736	99.0096588	
162	0.1087394	0.3750801	0.1673146	0.3333383	0.2177242	0.2916234	72.5601273	99.0098343	
163	0.1105814	0.3793803	0.1709329	0.3370081	0.2203335	0.2956803	72.5597534	99.0096741	
164	0.1132479	0.3842135	0.1745492	0.3406778	0.2241138	0.2993253	72.5635147	99.0098495	
165	0.1174684	0.3884945	0.1788732	0.3448034	0.2291301	0.3037789	72.5629501	99.0102005	
166	0.1151858	0.390131	0.1802884	0.345717	0.2250026	0.3046144	72.5593719	99.0085602	
167	0.1111579	0.3890839	0.1809941	0.3461748	0.2195724	0.3034204	72.5558014	99.0057449	
168	0.1105252	0.3917857	0.189314	0.3488813	0.2141422	0.3022264	72.5573044	99.0001831	
169	0.1098924	0.3944884	0.1916009	0.3530241	0.2056183	0.2990125	72.5597839	98.9946594	
170	0.1052313	0.396143	0.1910573	0.3553396	0.1964763	0.2953942	72.5658417	98.9900742	
171	0.1021243	0.3972473	0.1911393	0.3567262	0.1867145	0.2913736	72.5681305	98.9855423	
172	0.0957175	0.3962193	0.187687	0.3558298	0.1750301	0.2849191	72.5745468	98.9813614	
173	0.0852828	0.394145	0.164095	0.3592535	0.1579822	0.2784913	72.5730515	98.9802628	
174	0.0731025	0.3893881	0.1410447	0.3603635	0.1420368	0.2704309	72.5751266	98.9791565	
175	0.0600968	0.384099	0.1199514	0.3600698	0.1255401	0.2631848	72.5728683	98.9779816	
176	0.0470915	0.378809	0.0988561	0.3597761	0.1102794	0.2567495	72.5702209	98.9773636	
177	0.0325327	0.3740712	0.0744744	0.3613573	0.092131	0.2519563	72.5594711	98.976738	
178	0.017149	0.3688002	0.0480538	0.3629556	0.073296	0.2455381	72.5530624	98.9759445	
179	0.0017653	0.3635302	0.039652	0.3588625	0.0544609	0.2391198	72.5466537	98.9715347	
180	-0.0144434	0.3577261	0.0145646	0.3599878	0.0343212	0.2306722	72.544754	98.9693527	
181	-0.0249743	0.3540354	-0.0069903	0.3633962	0.020985	0.2266687	72.5377502	98.9689102	
182	-0.0337596	0.3530264	-0.0278357	0.3672624	0.0083355	0.2242902	72.5309372	98.9693604	
183	-0.0459399	0.3482695	-0.053007	0.3670011	-0.0031449	0.2214978	72.522995	98.9724655	
184	-0.0589451	0.3429804	-0.0774726	0.3671976	-0.0127693	0.2199186	72.5142975	98.9757385	
185	-0.0680184	0.3371191	-0.1005229	0.3683057	-0.0241829	0.2183488	72.4940567	98.9780197	
186	-0.0793743	0.3328953	-0.1068858	0.3641954	-0.0331894	0.217172	72.4855499	98.9776001	
187	-0.085052	0.3307829	-0.1089248	0.3642126	-0.037315	0.2180074	72.4768524	98.9765091	
188	-0.0882554	0.3302698	-0.090906	0.358521	-0.0378643	0.2188257	72.4762802	98.9725189	
189	-0.088984	0.3313542	-0.073429	0.355145	-0.0395848	0.2200559	72.4723129	98.9680252	
190	-0.088159	0.3318873	-0.0586146	0.3527151	-0.0408226	0.2192472	72.4728775	98.963562	
191	-0.0866055	0.3313351	-0.0438842	0.3488985	-0.0433632	0.2164109	72.473999	98.9587402	
192	-0.0843234	0.3296986	-0.0265731	0.3427492	-0.0448052	0.2119401	72.4792786	98.9537811	
193	-0.0820407	0.3280621	-0.009262	0.3365999	-0.0473477	0.209102	72.4762344	98.9490814	
194	-0.0789337	0.3269587	-0.0259475	0.3418203	-0.0524307	0.2034276	72.4784927	98.949585	
195	-0.0758266	0.3258553	-0.0218715	0.341786	-0.0507122	0.2021974	72.4786758	98.9483566	
196	-0.0710697	0.3258171	-0.0205401	0.3413129	-0.0497471	0.1981214	72.4881363	98.9476013	
197	-0.0664086	0.3241616	-0.0218715	0.341786	-0.0481621	0.1944497	72.4930496	98.9473038	
198	-0.0633015	0.3230582	-0.0218715	0.341786	-0.0484348	0.189565	72.5025101	98.9458237	
199	-0.0618438	0.3208885	-0.0199965	0.3389974	-0.0504948	0.1846917	72.5078049	98.9442444	
200	-0.0618438	0.3208885	-0.0167922	0.3357359	-0.0519348	0.180219	72.5212479	98.942894	
201	-0.0603861	0.3187199	-0.030897	0.3386236	-0.055164	0.1757577	72.5225601	98.9440918	
